primary_label,filename,fold
1139490,1139490/CSA36385.ogg,1
1139490,1139490/CSA36389.ogg,0
1192948,1192948/CSA36358.ogg,2
1192948,1192948/CSA36366.ogg,3
1192948,1192948/CSA36373.ogg,0
1192948,1192948/CSA36388.ogg,4
1194042,1194042/CSA18783.ogg,0
1194042,1194042/CSA18794.ogg,2
1194042,1194042/CSA18802.ogg,3
126247,126247/XC941297.ogg,3
126247,126247/iNat146584.ogg,1
126247,126247/iNat320679.ogg,2
126247,126247/iNat888527.ogg,0
126247,126247/iNat888729.ogg,4
1346504,1346504/CSA18784.ogg,1
1346504,1346504/CSA18791.ogg,0
1346504,1346504/CSA18792.ogg,3
1346504,1346504/CSA18793.ogg,4
1346504,1346504/CSA18803.ogg,2
134933,134933/XC941298.ogg,4
134933,134933/iNat1108984.ogg,1
134933,134933/iNat859408.ogg,0
135045,135045/iNat1122209.ogg,0
135045,135045/iNat1207345.ogg,4
135045,135045/iNat1207347.ogg,3
135045,135045/iNat1208549.ogg,1
135045,135045/iNat1208550.ogg,0
135045,135045/iNat1208551.ogg,2
135045,135045/iNat1208552.ogg,2
135045,135045/iNat1208572.ogg,1
135045,135045/iNat327127.ogg,4
135045,135045/iNat48803.ogg,3
1462711,1462711/CSA36371.ogg,0
1462711,1462711/CSA36379.ogg,4
1462711,1462711/CSA36390.ogg,3
1462737,1462737/CSA36341.ogg,3
1462737,1462737/CSA36369.ogg,1
1462737,1462737/CSA36380.ogg,0
1462737,1462737/CSA36381.ogg,4
1462737,1462737/CSA36386.ogg,0
1462737,1462737/CSA36391.ogg,2
1462737,1462737/CSA36395.ogg,1
1564122,1564122/CSA34195.ogg,1
1564122,1564122/CSA34196.ogg,2
1564122,1564122/CSA34197.ogg,4
1564122,1564122/CSA34198.ogg,0
1564122,1564122/CSA34199.ogg,2
1564122,1564122/CSA34200.ogg,3
21038,21038/iNat297879.ogg,0
21038,21038/iNat65519.ogg,3
21116,21116/iNat296867.ogg,1
21116,21116/iNat65520.ogg,0
21211,21211/XC882646.ogg,3
21211,21211/XC882647.ogg,0
21211,21211/XC882648.ogg,0
21211,21211/XC882649.ogg,2
21211,21211/XC882650.ogg,2
21211,21211/XC882651.ogg,4
21211,21211/XC882652.ogg,2
21211,21211/XC882653.ogg,2
21211,21211/XC882654.ogg,1
21211,21211/XC882655.ogg,0
21211,21211/XC882656.ogg,3
21211,21211/XC882657.ogg,2
21211,21211/XC882658.ogg,0
21211,21211/XC882659.ogg,1
21211,21211/XC896828.ogg,1
21211,21211/XC896832.ogg,4
21211,21211/XC896838.ogg,4
21211,21211/XC896839.ogg,3
21211,21211/XC896840.ogg,3
21211,21211/XC896855.ogg,2
21211,21211/XC896857.ogg,0
21211,21211/XC896860.ogg,4
21211,21211/XC896861.ogg,4
21211,21211/XC896863.ogg,1
21211,21211/XC913785.ogg,1
21211,21211/XC913809.ogg,2
21211,21211/XC913811.ogg,2
21211,21211/XC913839.ogg,4
21211,21211/XC913840.ogg,1
21211,21211/XC913858.ogg,3
21211,21211/XC913859.ogg,2
21211,21211/XC913880.ogg,1
21211,21211/XC913881.ogg,0
21211,21211/XC913886.ogg,3
21211,21211/XC913887.ogg,4
21211,21211/XC913893.ogg,1
21211,21211/XC913894.ogg,2
21211,21211/XC913976.ogg,0
21211,21211/XC913977.ogg,3
21211,21211/XC913978.ogg,3
21211,21211/XC913992.ogg,2
